cod_ISTAT,regione,pop_res2019,cod_rip
01,Piemonte,4356406,1
02,Valle d'Aosta,125666,1
03,Lombardia,10060574,1
04,P.A. Trento,541098,2
04,P.A. Bolzano,531178,2
05,Veneto,4905854,2
06,Friuli Venezia Giulia,1215220,2
07,Liguria,1550640,1
08,Emilia Romagna,4459477,2
09,Toscana,3729641,3
10,Umbria,882015,3
11,Marche,1525271,3
12,Lazio,5879082,4
13,Abruzzo,1311580,4
14,Molise,305617,3
15,Campania,5801692,4
16,Puglia,4029053,4
17,Basilicata,562869,4
18,Calabria,1947131,4
19,Sicilia,4999891,5
20,Sardegna,1639591,5